Driver,Team,LapNumber,LapTime,Compound,Stint,TrackStatus,IsAccurate,LapTimeSeconds,Year,Track,Session,AirTempC,TrackTempC,Rainfall,TyreAgeLaps,SessionProgress,LapTimeFormatted
NOR,McLaren,11.0,0 days 00:01:19.327000,SOFT,4.0,1,True,79.327,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.327
OCO,Alpine,2.0,0 days 00:01:21.346000,SOFT,1.0,1,True,81.346,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.346
OCO,Alpine,5.0,0 days 00:01:20.764000,SOFT,2.0,1,True,80.764,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.764
OCO,Alpine,10.0,0 days 00:01:36.883000,SOFT,4.0,1,True,96.883,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:36.883
OCO,Alpine,11.0,0 days 00:01:20.884000,SOFT,4.0,1,True,80.884,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,1,Mid,1:20.884
OCO,Alpine,14.0,0 days 00:01:47.819000,SOFT,5.0,1,True,107.819,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:47.819
OCO,Alpine,15.0,0 days 00:01:20.766000,SOFT,5.0,1,True,80.766,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,1,Late,1:20.766
PER,Red Bull Racing,2.0,0 days 00:01:21.110000,SOFT,1.0,1,True,81.11,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.110
PER,Red Bull Racing,5.0,0 days 00:01:20.598000,SOFT,2.0,1,True,80.598,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.598
PER,Red Bull Racing,8.0,0 days 00:01:20.402000,SOFT,3.0,1,True,80.402,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.402
PER,Red Bull Racing,11.0,0 days 00:01:20.216000,SOFT,4.0,1,True,80.216,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.216
