Driver,Team,LapNumber,LapTime,Compound,Stint,TrackStatus,IsAccurate,LapTimeSeconds,Year,Track,Session,AirTempC,TrackTempC,Rainfall,TyreAgeLaps,SessionProgress,LapTimeFormatted,FuelKg,EstimatedCarWeightKg,CompoundEffect,Intensity,TyreAgeEffect,EstimatedTyreTempC
OCO,Alpine,14.0,0 days 00:01:47.819000,SOFT,5.0,1,True,107.819,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:47.819,10.0,808.0,8,-1.0,0.0,50.73037974683544
OCO,Alpine,15.0,0 days 00:01:20.766000,SOFT,5.0,1,True,80.766,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,1,Late,1:20.766,10.0,808.0,8,-0.29997479203428346,0.6,55.53053099462974
PER,Red Bull Racing,2.0,0 days 00:01:21.110000,SOFT,1.0,1,True,81.11,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.110,10.0,808.0,8,-0.6468364003024916,0.0,52.84936134502049
PER,Red Bull Racing,5.0,0 days 00:01:20.598000,SOFT,2.0,1,True,80.598,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.598,10.0,808.0,8,-0.13057726241491663,0.0,55.94691617234594
PER,Red Bull Racing,8.0,0 days 00:01:20.402000,SOFT,3.0,1,True,80.402,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.402,10.0,808.0,8,0.06705318880766842,0.0,57.13269887968145
PER,Red Bull Racing,11.0,0 days 00:01:20.216000,SOFT,4.0,1,True,80.216,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.216,10.0,808.0,8,0.25460045374339596,0.0,58.25798246929581
PER,Red Bull Racing,14.0,0 days 00:01:20.062000,SOFT,5.0,1,True,80.062,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:20.062,10.0,808.0,8,0.4098815225611393,0.0,59.18966888220228
PIA,McLaren,2.0,0 days 00:01:50.311000,SOFT,1.0,1,True,110.311,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:50.311,10.0,808.0,8,-1.0,0.0,50.73037974683544
PIA,McLaren,3.0,0 days 00:01:20.488000,SOFT,1.0,1,True,80.488,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,1,Early,1:20.488,10.0,808.0,8,-0.019662213259383624,0.6,57.21240646727914
PIA,McLaren,6.0,0 days 00:01:20.076000,SOFT,2.0,12,True,80.076,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.076,10.0,808.0,8,0.39576506175953013,0.0,59.10497011739262
PIA,McLaren,9.0,0 days 00:01:19.808000,SOFT,3.0,1,True,79.808,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.808,10.0,808.0,8,0.6659944542475438,0.0,60.7263464723207
PIA,McLaren,12.0,0 days 00:01:19.845000,SOFT,4.0,1,True,79.845,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.845,10.0,808.0,8,0.6286866649861452,0.0,60.50249973675231
PIA,McLaren,15.0,0 days 00:01:19.436000,SOFT,5.0,1,True,79.436,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.436,10.0,808.0,8,1.0,0.0,62.73037974683544
